run_tag,generation,ind_id,origin,parent_a,parent_b,fitness,nodes_in,edges_in,none_removed,comp_removed_nodes,face_collisions_skipped,multi_parent_skipped,unreached_removed,nodes_out,edges_out,raw_graph_path,san_graph_path,video_recorded
20251008_161002,2,7,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind7.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind7.json,False
20251008_161002,2,8,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind8.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind8.json,False
20251008_161002,2,9,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind9.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind9.json,False
20251008_161002,2,10,mut(elite),0,0,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind10.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind10.json,False
20251008_161002,2,11,"cx(elite,9)",0,9,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind11.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind11.json,False
20251008_161002,2,12,"cx(elite,15)",0,15,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind12.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind12.json,False
20251008_161002,2,13,"cx(elite,12)",0,12,-5.7828006928538604,30,44,0,0,5,10,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind13.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind13.json,False
20251008_161002,2,14,"cx(elite,14)",0,14,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind14.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind14.json,False
20251008_161002,2,15,"cx(elite,17)",0,17,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind15.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind15.json,False
20251008_161002,2,16,"cx(elite,14)",0,14,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind16.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind16.json,False
20251008_161002,2,17,"cx(elite,4)",0,4,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind17.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind17.json,False
20251008_161002,2,18,"cx(elite,3)",0,3,-5.839006177598372,30,44,0,0,4,11,0,30,29,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_raw\gen2_ind18.json,c:\Users\ptboe\vscode\VU\ariel\A3_scripts\A3\graphs_sanitized\gen2_ind18.json,False
